PropName,BladeName,Family,B,D,P,J,N,CT,CP,eta
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.5,6.0,0.165,4000.0,0.0993,0.0539,0.304
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.5,6.0,0.214,4000.0,0.0947,0.0543,0.374
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.5,6.0,0.255,4000.0,0.0916,0.0548,0.427
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.5,6.0,0.301,4000.0,0.0847,0.054,0.473
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.5,6.0,0.34,4000.0,0.0796,0.053,0.511
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.5,6.0,0.4,4000.0,0.0718,0.0504,0.57
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.5,6.0,0.438,4000.0,0.0659,0.0481,0.602
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.5,6.0,0.483,4000.0,0.0583,0.0451,0.625
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.5,6.0,0.531,4000.0,0.0497,0.041,0.644
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.5,6.0,0.567,4000.0,0.043,0.0372,0.655
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.5,6.0,0.615,4000.0,0.0336,0.0318,0.648
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.5,6.0,0.664,4000.0,0.0252,0.0265,0.632
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.5,6.0,0.705,4000.0,0.0172,0.0217,0.561
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.5,6.0,0.753,4000.0,0.0091,0.0162,0.424
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.5,6.0,0.79,4000.0,0.0025,0.0118,0.165
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.5,6.0,0.134,5004.0,0.1035,0.0523,0.264
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.5,6.0,0.169,5004.0,0.1016,0.0536,0.321
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.5,6.0,0.205,5004.0,0.0984,0.0538,0.375
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.5,6.0,0.239,5004.0,0.0953,0.054,0.422
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.5,6.0,0.278,5004.0,0.0909,0.0542,0.466
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.5,6.0,0.311,5004.0,0.0872,0.0538,0.503
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.5,6.0,0.346,5004.0,0.0823,0.0534,0.534
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.5,6.0,0.382,5004.0,0.0765,0.0514,0.569
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.5,6.0,0.421,5004.0,0.0711,0.05,0.598
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.5,6.0,0.453,5004.0,0.0662,0.0481,0.624
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.5,6.0,0.495,5004.0,0.0599,0.0459,0.645
ance 8.5x6.0 - 2,ance 8.5x6.0,ance,2,8.5,6.0,0.527,5004.0,0.0537,0.0426,0.665
