Date,TWII.Open,TWII.High,TWII.Low,TWII.Close,TWII.Volume,TWII.Adjusted
2000/1/4,8644.910156,8803.610352,8642.5,8756.549805,0,8756.517578
2000/1/5,8690.599609,8867.679688,8668.019531,8849.870117,0,8849.837891
2000/1/6,8900.55957,9023.990234,8833.910156,8922.030273,0,8921.99707
2000/1/7,8853.429688,8940.769531,8739.429688,8849.870117,0,8849.837891
2000/1/10,8941.929688,9126.019531,8891.790039,9102.599609,0,9102.56543
2000/1/11,9254.179688,9332.519531,8890.450195,8927.030273,0,8926.99707
2000/1/12,8964.780273,9144.650391,8937.30957,9144.650391,0,9144.616211
2000/1/13,9215.759766,9237.849609,9095.349609,9107.19043,0,9107.15625
2000/1/14,9219.370117,9236.849609,8967.55957,9023.240234,0,9023.207031
2000/1/17,9256.570313,9384.519531,9230.389648,9315.429688,0,9315.395508
2000/1/18,9353.889648,9353.889648,9210.360352,9250.19043,0,9250.15625
2000/1/19,9255.700195,9335.730469,9136.759766,9151.44043,0,9151.40625
2000/1/20,9175.269531,9211.339844,9077.700195,9136.950195,0,9136.916016
2000/1/21,9183.55957,9305.269531,9183.55957,9255.94043,0,9255.90625
2000/1/24,9327.980469,9425.870117,9327.980469,9387.070313,0,9387.036133
2000/1/25,9412.240234,9413.209961,9308.009766,9372.370117,0,9372.335938
2000/1/26,9469.740234,9617.320313,9469.740234,9581.959961,0,9581.923828
2000/1/27,9684.450195,9733.259766,9618.299805,9628.980469,0,9628.944336
2000/1/28,9627.919922,9753.719727,9627.919922,9696.910156,0,9696.873047
2000/1/31,9653.240234,9749.509766,9613.799805,9744.889648,0,9744.852539
2000/2/1,9829.679688,9901.799805,9800.629883,9856.389648,0,9856.352539
2000/2/2,NA,NA,NA,NA,NA,NA
2000/2/3,NA,NA,NA,NA,NA,NA
2000/2/4,NA,NA,NA,NA,NA,NA
2000/2/7,NA,NA,NA,NA,NA,NA
2000/2/8,NA,NA,NA,NA,NA,NA
2000/2/9,10137.24023,10137.24023,9932.070313,10008.87988,0,10008.8418
2000/2/10,10028.33984,10098.29981,9957.660156,10057.66992,0,10057.63184
2000/2/11,10171.79981,10227.33008,10096.54004,10128.66992,0,10128.63184
2000/2/14,10152.45996,10167.70996,9963.5,9971.450195,0,9971.412109
2000/2/15,9993.629883,10014.25,9853.860352,9957.740234,0,9957.702148
2000/2/16,10010.87012,10099.96973,10010.87012,10064.49023,0,10064.45215
2000/2/17,10109.84961,10267.45996,10109.84961,10202.2002,0,10202.16211
2000/2/18,10311.26953,10393.58984,10062.23047,10096.37988,0,10096.3418
2000/2/21,10165.24023,10212.99023,9912.669922,9912.669922,0,9912.632813
2000/2/22,9853.160156,9917.129883,9596.679688,9731.929688,0,9731.892578
2000/2/23,9738.19043,9803.80957,9623.459961,9642.259766,0,9642.223633
2000/2/24,9725.299805,9781.30957,9582,9599.169922,0,9599.133789
2000/2/25,9620.919922,9639.120117,9407.790039,9432.490234,0,9432.456055
2000/2/28,NA,NA,NA,NA,NA,NA
2000/2/29,9525.650391,9581,9410.110352,9435.94043,0,9435.90625
2000/3/1,9572.240234,9689.099609,9572.240234,9689.099609,0,9689.0625
2000/3/2,9781.269531,9781.269531,9538.120117,9543.820313,0,9543.785156
2000/3/3,9557.660156,9650.740234,9547.400391,9588.030273,0,9587.994141
2000/3/6,9519.799805,9519.799805,9356.580078,9367.910156,0,9367.875977
2000/3/7,9340.490234,9440.320313,9286.389648,9380.070313,0,9380.036133
2000/3/8,9413.570313,9482.179688,9379.290039,9389.490234,0,9389.456055
2000/3/9,9453.700195,9587.269531,9453.700195,9587.269531,0,9587.233398
2000/3/10,9706.019531,9712.389648,9422.080078,9429.599609,0,9429.56543
2000/3/13,9229.490234,9229.490234,8807.360352,8811.950195,0,8811.917969
2000/3/14,8694.870117,8871.830078,8598.070313,8835.580078,0,8835.547852
2000/3/15,8794.299805,8905.820313,8634.490234,8640.030273,0,8639.998047
2000/3/16,8357.629883,8714.05957,8250.459961,8682.759766,0,8682.727539
2000/3/17,8700.990234,8799.089844,8610.580078,8763.269531,0,8763.237305
