BladeName,Family,D,P,c/R,r/R,beta
gwsdd 2.5x1.0,gwsdd,2.5,1.0,0.3287,0.35,17.026
gwsdd 2.5x1.0,gwsdd,2.5,1.0,0.3261,0.4,16.534
gwsdd 2.5x1.0,gwsdd,2.5,1.0,0.3253,0.45,15.656
gwsdd 2.5x1.0,gwsdd,2.5,1.0,0.3248,0.5,14.685
gwsdd 2.5x1.0,gwsdd,2.5,1.0,0.3233,0.55,13.731
gwsdd 2.5x1.0,gwsdd,2.5,1.0,0.322,0.6,12.773
gwsdd 2.5x1.0,gwsdd,2.5,1.0,0.3212,0.65,11.79
gwsdd 2.5x1.0,gwsdd,2.5,1.0,0.3206,0.7,10.924
gwsdd 2.5x1.0,gwsdd,2.5,1.0,0.3196,0.75,10.109
gwsdd 2.5x1.0,gwsdd,2.5,1.0,0.3185,0.8,9.359
gwsdd 2.5x1.0,gwsdd,2.5,1.0,0.3179,0.85,8.888
gwsdd 2.5x1.0,gwsdd,2.5,1.0,0.3125,0.9,8.564
gwsdd 2.5x1.0,gwsdd,2.5,1.0,0.2562,0.95,8.027
gwsdd 2.5x1.0,gwsdd,2.5,1.0,0.0724,1.0,6.065
gwsdd 3.0x2.0,gwsdd,3.0,2.0,0.3065,0.15,29.162
gwsdd 3.0x2.0,gwsdd,3.0,2.0,0.3085,0.2,28.401
gwsdd 3.0x2.0,gwsdd,3.0,2.0,0.3057,0.25,27.59
gwsdd 3.0x2.0,gwsdd,3.0,2.0,0.3031,0.3,26.619
gwsdd 3.0x2.0,gwsdd,3.0,2.0,0.3004,0.35,25.551
gwsdd 3.0x2.0,gwsdd,3.0,2.0,0.2967,0.4,24.328
gwsdd 3.0x2.0,gwsdd,3.0,2.0,0.293,0.45,22.961
gwsdd 3.0x2.0,gwsdd,3.0,2.0,0.2903,0.5,21.39
gwsdd 3.0x2.0,gwsdd,3.0,2.0,0.288,0.55,19.813
gwsdd 3.0x2.0,gwsdd,3.0,2.0,0.2853,0.6,18.338
gwsdd 3.0x2.0,gwsdd,3.0,2.0,0.2831,0.65,16.92
gwsdd 3.0x2.0,gwsdd,3.0,2.0,0.2819,0.7,15.72
gwsdd 3.0x2.0,gwsdd,3.0,2.0,0.2806,0.75,14.706
gwsdd 3.0x2.0,gwsdd,3.0,2.0,0.2792,0.8,13.837
gwsdd 3.0x2.0,gwsdd,3.0,2.0,0.2783,0.85,13.045
gwsdd 3.0x2.0,gwsdd,3.0,2.0,0.2771,0.9,12.249
gwsdd 3.0x2.0,gwsdd,3.0,2.0,0.253,0.95,11.436
gwsdd 3.0x2.0,gwsdd,3.0,2.0,0.1128,1.0,5.54
gwsdd 3.0x3.0,gwsdd,3.0,3.0,0.2796,0.15,28.129
gwsdd 3.0x3.0,gwsdd,3.0,3.0,0.2987,0.2,28.41
gwsdd 3.0x3.0,gwsdd,3.0,3.0,0.3023,0.25,28.958
gwsdd 3.0x3.0,gwsdd,3.0,3.0,0.3028,0.3,29.296
gwsdd 3.0x3.0,gwsdd,3.0,3.0,0.3037,0.35,29.222
gwsdd 3.0x3.0,gwsdd,3.0,3.0,0.3035,0.4,28.817
gwsdd 3.0x3.0,gwsdd,3.0,3.0,0.3011,0.45,28.462
gwsdd 3.0x3.0,gwsdd,3.0,3.0,0.2964,0.5,28.156
gwsdd 3.0x3.0,gwsdd,3.0,3.0,0.2903,0.55,27.713
gwsdd 3.0x3.0,gwsdd,3.0,3.0,0.2825,0.6,27.035
gwsdd 3.0x3.0,gwsdd,3.0,3.0,0.2723,0.65,26.167
gwsdd 3.0x3.0,gwsdd,3.0,3.0,0.2599,0.7,25.05
gwsdd 3.0x3.0,gwsdd,3.0,3.0,0.2455,0.75,23.666
gwsdd 3.0x3.0,gwsdd,3.0,3.0,0.2282,0.8,22.325
gwsdd 3.0x3.0,gwsdd,3.0,3.0,0.2074,0.85,21.289
gwsdd 3.0x3.0,gwsdd,3.0,3.0,0.1833,0.9,20.572
gwsdd 3.0x3.0,gwsdd,3.0,3.0,0.1511,0.95,20.064
gwsdd 3.0x3.0,gwsdd,3.0,3.0,0.0283,1.0,19.524
gwsdd 4.5x3.0,gwsdd,4.5,3.0,0.2305,0.15,24.346
gwsdd 4.5x3.0,gwsdd,4.5,3.0,0.2328,0.2,24.709
gwsdd 4.5x3.0,gwsdd,4.5,3.0,0.2334,0.25,24.743
gwsdd 4.5x3.0,gwsdd,4.5,3.0,0.2337,0.3,24.595
gwsdd 4.5x3.0,gwsdd,4.5,3.0,0.2328,0.35,24.188
gwsdd 4.5x3.0,gwsdd,4.5,3.0,0.2313,0.4,23.702
gwsdd 4.5x3.0,gwsdd,4.5,3.0,0.2295,0.45,23.133
gwsdd 4.5x3.0,gwsdd,4.5,3.0,0.2266,0.5,22.241
gwsdd 4.5x3.0,gwsdd,4.5,3.0,0.2224,0.55,21.101
gwsdd 4.5x3.0,gwsdd,4.5,3.0,0.2169,0.6,19.833
gwsdd 4.5x3.0,gwsdd,4.5,3.0,0.21,0.65,18.54
gwsdd 4.5x3.0,gwsdd,4.5,3.0,0.2012,0.7,17.274
gwsdd 4.5x3.0,gwsdd,4.5,3.0,0.1904,0.75,16.123
gwsdd 4.5x3.0,gwsdd,4.5,3.0,0.1777,0.8,15.216
gwsdd 4.5x3.0,gwsdd,4.5,3.0,0.1627,0.85,14.435
gwsdd 4.5x3.0,gwsdd,4.5,3.0,0.1454,0.9,13.738
gwsdd 4.5x3.0,gwsdd,4.5,3.0,0.1103,0.95,13.074
gwsdd 4.5x3.0,gwsdd,4.5,3.0,0.0179,1.0,11.837
gwsdd 4.5x4.0,gwsdd,4.5,4.0,0.194,0.15,27.627
gwsdd 4.5x4.0,gwsdd,4.5,4.0,0.2207,0.2,28.79
gwsdd 4.5x4.0,gwsdd,4.5,4.0,0.241,0.25,29.821
gwsdd 4.5x4.0,gwsdd,4.5,4.0,0.251,0.3,30.595
gwsdd 4.5x4.0,gwsdd,4.5,4.0,0.251,0.35,30.835
gwsdd 4.5x4.0,gwsdd,4.5,4.0,0.2458,0.4,30.581
gwsdd 4.5x4.0,gwsdd,4.5,4.0,0.2389,0.45,29.91
gwsdd 4.5x4.0,gwsdd,4.5,4.0,0.2308,0.5,28.915
gwsdd 4.5x4.0,gwsdd,4.5,4.0,0.2214,0.55,27.482
gwsdd 4.5x4.0,gwsdd,4.5,4.0,0.2123,0.6,25.814
gwsdd 4.5x4.0,gwsdd,4.5,4.0,0.2032,0.65,24.206
gwsdd 4.5x4.0,gwsdd,4.5,4.0,0.194,0.7,22.736
gwsdd 4.5x4.0,gwsdd,4.5,4.0,0.185,0.75,21.37
gwsdd 4.5x4.0,gwsdd,4.5,4.0,0.1754,0.8,20.298
gwsdd 4.5x4.0,gwsdd,4.5,4.0,0.1631,0.85,19.332
gwsdd 4.5x4.0,gwsdd,4.5,4.0,0.1431,0.9,18.032
gwsdd 4.5x4.0,gwsdd,4.5,4.0,0.1012,0.95,16.872
gwsdd 4.5x4.0,gwsdd,4.5,4.0,0.0072,1.0,15.562
gwsdd 4.0x2.5,gwsdd,4.0,2.5,0.2506,0.15,20.632
gwsdd 4.0x2.5,gwsdd,4.0,2.5,0.2545,0.2,21.099
gwsdd 4.0x2.5,gwsdd,4.0,2.5,0.2547,0.25,21.481
gwsdd 4.0x2.5,gwsdd,4.0,2.5,0.2549,0.3,21.832
gwsdd 4.0x2.5,gwsdd,4.0,2.5,0.2552,0.35,21.987
gwsdd 4.0x2.5,gwsdd,4.0,2.5,0.2549,0.4,21.911
gwsdd 4.0x2.5,gwsdd,4.0,2.5,0.2542,0.45,21.555
gwsdd 4.0x2.5,gwsdd,4.0,2.5,0.253,0.5,20.815
gwsdd 4.0x2.5,gwsdd,4.0,2.5,0.2511,0.55,19.811
gwsdd 4.0x2.5,gwsdd,4.0,2.5,0.2491,0.6,18.682
gwsdd 4.0x2.5,gwsdd,4.0,2.5,0.2466,0.65,17.468
gwsdd 4.0x2.5,gwsdd,4.0,2.5,0.2446,0.7,16.271
gwsdd 4.0x2.5,gwsdd,4.0,2.5,0.2433,0.75,15.19
gwsdd 4.0x2.5,gwsdd,4.0,2.5,0.2425,0.8,14.207
gwsdd 4.0x2.5,gwsdd,4.0,2.5,0.242,0.85,13.409
gwsdd 4.0x2.5,gwsdd,4.0,2.5,0.2412,0.9,12.74
gwsdd 4.0x2.5,gwsdd,4.0,2.5,0.2081,0.95,10.804
gwsdd 4.0x2.5,gwsdd,4.0,2.5,0.0582,1.0,4.632
gwsdd 4.0x4.0,gwsdd,4.0,4.0,0.2397,0.15,29.313
gwsdd 4.0x4.0,gwsdd,4.0,4.0,0.2514,0.2,29.176
gwsdd 4.0x4.0,gwsdd,4.0,4.0,0.253,0.25,29.309
gwsdd 4.0x4.0,gwsdd,4.0,4.0,0.2531,0.3,29.394
gwsdd 4.0x4.0,gwsdd,4.0,4.0,0.2527,0.35,29.354
gwsdd 4.0x4.0,gwsdd,4.0,4.0,0.2524,0.4,29.149
gwsdd 4.0x4.0,gwsdd,4.0,4.0,0.2518,0.45,28.728
gwsdd 4.0x4.0,gwsdd,4.0,4.0,0.2498,0.5,28.174
gwsdd 4.0x4.0,gwsdd,4.0,4.0,0.2459,0.55,27.617
gwsdd 4.0x4.0,gwsdd,4.0,4.0,0.2401,0.6,26.879
gwsdd 4.0x4.0,gwsdd,4.0,4.0,0.2319,0.65,25.902
gwsdd 4.0x4.0,gwsdd,4.0,4.0,0.2209,0.7,24.647
gwsdd 4.0x4.0,gwsdd,4.0,4.0,0.2071,0.75,23.179
gwsdd 4.0x4.0,gwsdd,4.0,4.0,0.1907,0.8,21.747
gwsdd 4.0x4.0,gwsdd,4.0,4.0,0.1721,0.85,20.554
gwsdd 4.0x4.0,gwsdd,4.0,4.0,0.1513,0.9,19.582
gwsdd 4.0x4.0,gwsdd,4.0,4.0,0.126,0.95,18.769
gwsdd 4.0x4.0,gwsdd,4.0,4.0,0.0353,1.0,18.557
gwsdd 5.0x3.0,gwsdd,5.0,3.0,0.229,0.15,17.203
gwsdd 5.0x3.0,gwsdd,5.0,3.0,0.2344,0.2,18.057
gwsdd 5.0x3.0,gwsdd,5.0,3.0,0.2359,0.25,18.977
gwsdd 5.0x3.0,gwsdd,5.0,3.0,0.2372,0.3,19.627
gwsdd 5.0x3.0,gwsdd,5.0,3.0,0.2382,0.35,20.203
gwsdd 5.0x3.0,gwsdd,5.0,3.0,0.2386,0.4,20.535
gwsdd 5.0x3.0,gwsdd,5.0,3.0,0.2382,0.45,20.568
gwsdd 5.0x3.0,gwsdd,5.0,3.0,0.2361,0.5,20.243
gwsdd 5.0x3.0,gwsdd,5.0,3.0,0.2321,0.55,19.49
gwsdd 5.0x3.0,gwsdd,5.0,3.0,0.2261,0.6,18.343
gwsdd 5.0x3.0,gwsdd,5.0,3.0,0.2177,0.65,17.002
gwsdd 5.0x3.0,gwsdd,5.0,3.0,0.2078,0.7,15.77
gwsdd 5.0x3.0,gwsdd,5.0,3.0,0.1967,0.75,14.733
gwsdd 5.0x3.0,gwsdd,5.0,3.0,0.1842,0.8,13.766
gwsdd 5.0x3.0,gwsdd,5.0,3.0,0.1696,0.85,12.898
gwsdd 5.0x3.0,gwsdd,5.0,3.0,0.1532,0.9,12.256
gwsdd 5.0x3.0,gwsdd,5.0,3.0,0.1266,0.95,11.657
gwsdd 5.0x3.0,gwsdd,5.0,3.0,0.0242,1.0,5.746
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.2436,0.15,21.718
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.2485,0.2,22.308
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.25,0.25,23.043
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.2518,0.3,23.914
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.2537,0.35,24.68
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.2544,0.4,25.213
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.2541,0.45,25.489
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.2525,0.5,25.434
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.2491,0.55,25.042
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.2432,0.6,24.109
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.234,0.65,22.749
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.2228,0.7,21.28
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.2099,0.75,19.775
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.1953,0.8,18.319
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.179,0.85,17.045
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.161,0.9,15.929
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.1324,0.95,14.61
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.0176,1.0,13.9
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.2405,0.15,23.28
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.2451,0.2,24.395
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.2461,0.25,25.384
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.2474,0.3,26.288
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.2486,0.35,26.991
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.2495,0.4,27.445
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.2496,0.45,27.665
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.2483,0.5,27.649
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.2448,0.55,27.25
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.2388,0.6,26.294
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.2302,0.65,24.823
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.2192,0.7,23.023
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.2063,0.75,21.239
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.192,0.8,19.713
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.1764,0.85,18.353
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.1587,0.9,17.231
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.118,0.95,16.715
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.0198,1.0,12.094
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.2403,0.15,21.367
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.2449,0.2,22.135
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.246,0.25,22.799
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.2471,0.3,23.496
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.2485,0.35,24.014
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.2494,0.4,24.312
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.2494,0.45,24.411
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.248,0.5,24.29
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.2443,0.55,23.779
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.2382,0.6,22.783
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.2293,0.65,21.427
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.218,0.7,19.845
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.2052,0.75,18.142
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.1909,0.8,16.601
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.1754,0.85,15.293
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.1578,0.9,14.108
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.1164,0.95,13.081
gwsdd 5.0x4.3,gwsdd,5.0,4.3,0.012,1.0,12.614
gwsdd 9.0x5.0,gwsdd,9.0,5.0,0.169,0.15,25.65
gwsdd 9.0x5.0,gwsdd,9.0,5.0,0.181,0.2,26.35
gwsdd 9.0x5.0,gwsdd,9.0,5.0,0.183,0.25,26.75
gwsdd 9.0x5.0,gwsdd,9.0,5.0,0.183,0.3,26.49
gwsdd 9.0x5.0,gwsdd,9.0,5.0,0.182,0.35,25.57
gwsdd 9.0x5.0,gwsdd,9.0,5.0,0.18,0.4,23.95
gwsdd 9.0x5.0,gwsdd,9.0,5.0,0.176,0.45,21.72
gwsdd 9.0x5.0,gwsdd,9.0,5.0,0.173,0.5,19.38
gwsdd 9.0x5.0,gwsdd,9.0,5.0,0.17,0.55,17.53
gwsdd 9.0x5.0,gwsdd,9.0,5.0,0.167,0.6,15.8
gwsdd 9.0x5.0,gwsdd,9.0,5.0,0.162,0.65,14.4
gwsdd 9.0x5.0,gwsdd,9.0,5.0,0.156,0.7,13.19
gwsdd 9.0x5.0,gwsdd,9.0,5.0,0.15,0.75,12.09
gwsdd 9.0x5.0,gwsdd,9.0,5.0,0.142,0.8,11.38
gwsdd 9.0x5.0,gwsdd,9.0,5.0,0.132,0.85,10.13
gwsdd 9.0x5.0,gwsdd,9.0,5.0,0.117,0.9,8.7
gwsdd 9.0x5.0,gwsdd,9.0,5.0,0.095,0.95,6.5
gwsdd 9.0x5.0,gwsdd,9.0,5.0,0.073,1.0,4.26
kpf 96.0x70.0,kpf,3.7795275590551185,2.7559055118110236,0.12,0.15,42.171
kpf 96.0x70.0,kpf,3.7795275590551185,2.7559055118110236,0.1266,0.2,45.008
kpf 96.0x70.0,kpf,3.7795275590551185,2.7559055118110236,0.1202,0.25,38.043
kpf 96.0x70.0,kpf,3.7795275590551185,2.7559055118110236,0.1227,0.3,25.438
kpf 96.0x70.0,kpf,3.7795275590551185,2.7559055118110236,0.1491,0.35,21.552
kpf 96.0x70.0,kpf,3.7795275590551185,2.7559055118110236,0.1805,0.4,22.379
kpf 96.0x70.0,kpf,3.7795275590551185,2.7559055118110236,0.2119,0.45,23.456
kpf 96.0x70.0,kpf,3.7795275590551185,2.7559055118110236,0.2433,0.5,24.304
kpf 96.0x70.0,kpf,3.7795275590551185,2.7559055118110236,0.2688,0.55,24.401
kpf 96.0x70.0,kpf,3.7795275590551185,2.7559055118110236,0.2798,0.6,23.692
kpf 96.0x70.0,kpf,3.7795275590551185,2.7559055118110236,0.2801,0.65,22.754
kpf 96.0x70.0,kpf,3.7795275590551185,2.7559055118110236,0.279,0.7,21.81
kpf 96.0x70.0,kpf,3.7795275590551185,2.7559055118110236,0.2779,0.75,20.863
kpf 96.0x70.0,kpf,3.7795275590551185,2.7559055118110236,0.2773,0.8,19.953
kpf 96.0x70.0,kpf,3.7795275590551185,2.7559055118110236,0.2765,0.85,19.151
kpf 96.0x70.0,kpf,3.7795275590551185,2.7559055118110236,0.2758,0.9,18.223
kpf 96.0x70.0,kpf,3.7795275590551185,2.7559055118110236,0.2371,0.95,16.23
kpf 96.0x70.0,kpf,3.7795275590551185,2.7559055118110236,0.0328,1.0,15.422
mit 4.3x3.5,mit,4.3,3.5,0.1198,0.15,29.738
mit 4.3x3.5,mit,4.3,3.5,0.1331,0.2,31.931
mit 4.3x3.5,mit,4.3,3.5,0.1518,0.25,32.528
mit 4.3x3.5,mit,4.3,3.5,0.1704,0.3,31.583
mit 4.3x3.5,mit,4.3,3.5,0.1849,0.35,29.251
mit 4.3x3.5,mit,4.3,3.5,0.1965,0.4,26.933
mit 4.3x3.5,mit,4.3,3.5,0.2031,0.45,25.017
mit 4.3x3.5,mit,4.3,3.5,0.206,0.5,23.043
mit 4.3x3.5,mit,4.3,3.5,0.2075,0.55,21.146
mit 4.3x3.5,mit,4.3,3.5,0.2048,0.6,19.179
mit 4.3x3.5,mit,4.3,3.5,0.1991,0.65,17.513
mit 4.3x3.5,mit,4.3,3.5,0.1912,0.7,15.639
mit 4.3x3.5,mit,4.3,3.5,0.1814,0.75,13.821
mit 4.3x3.5,mit,4.3,3.5,0.1693,0.8,12.645
mit 4.3x3.5,mit,4.3,3.5,0.151,0.85,11.885
mit 4.3x3.5,mit,4.3,3.5,0.1258,0.9,11.329
mit 4.3x3.5,mit,4.3,3.5,0.0879,0.95,11.027
mit 4.3x3.5,mit,4.3,3.5,0.0143,1.0,10.352
mit 5.0x4.0,mit,5.0,4.0,0.1121,0.15,23.418
mit 5.0x4.0,mit,5.0,4.0,0.1297,0.2,28.485
mit 5.0x4.0,mit,5.0,4.0,0.1477,0.25,31.062
mit 5.0x4.0,mit,5.0,4.0,0.1639,0.3,31.635
mit 5.0x4.0,mit,5.0,4.0,0.1764,0.35,30.435
mit 5.0x4.0,mit,5.0,4.0,0.1855,0.4,28.445
mit 5.0x4.0,mit,5.0,4.0,0.192,0.45,26.557
mit 5.0x4.0,mit,5.0,4.0,0.1947,0.5,24.911
mit 5.0x4.0,mit,5.0,4.0,0.1932,0.55,23.346
mit 5.0x4.0,mit,5.0,4.0,0.1884,0.6,21.695
mit 5.0x4.0,mit,5.0,4.0,0.1826,0.65,20.204
mit 5.0x4.0,mit,5.0,4.0,0.176,0.7,18.79
mit 5.0x4.0,mit,5.0,4.0,0.1673,0.75,17.386
mit 5.0x4.0,mit,5.0,4.0,0.1559,0.8,16.05
mit 5.0x4.0,mit,5.0,4.0,0.1402,0.85,15.075
mit 5.0x4.0,mit,5.0,4.0,0.1175,0.9,14.595
mit 5.0x4.0,mit,5.0,4.0,0.085,0.95,14.073
mit 5.0x4.0,mit,5.0,4.0,0.0112,1.0,13.817
mi 3.2x2.2,mi,3.2,2.2,0.1042,0.15,20.359
mi 3.2x2.2,mi,3.2,2.2,0.1053,0.2,23.502
mi 3.2x2.2,mi,3.2,2.2,0.1192,0.25,25.32
mi 3.2x2.2,mi,3.2,2.2,0.1407,0.3,25.417
mi 3.2x2.2,mi,3.2,2.2,0.1603,0.35,25.233
mi 3.2x2.2,mi,3.2,2.2,0.1759,0.4,24.736
mi 3.2x2.2,mi,3.2,2.2,0.1868,0.45,23.666
mi 3.2x2.2,mi,3.2,2.2,0.1941,0.5,22.131
mi 3.2x2.2,mi,3.2,2.2,0.1976,0.55,20.366
mi 3.2x2.2,mi,3.2,2.2,0.1977,0.6,18.634
mi 3.2x2.2,mi,3.2,2.2,0.1946,0.65,17.064
mi 3.2x2.2,mi,3.2,2.2,0.1889,0.7,15.552
mi 3.2x2.2,mi,3.2,2.2,0.1799,0.75,14.271
mi 3.2x2.2,mi,3.2,2.2,0.1676,0.8,13.041
mi 3.2x2.2,mi,3.2,2.2,0.152,0.85,11.669
mi 3.2x2.2,mi,3.2,2.2,0.1315,0.9,10.456
mi 3.2x2.2,mi,3.2,2.2,0.0989,0.95,9.406
mi 3.2x2.2,mi,3.2,2.2,0.0021,1.0,9.004
mi 4.0x2.7,mi,4.0,2.7,0.0807,0.15,25.838
mi 4.0x2.7,mi,4.0,2.7,0.086,0.2,27.413
mi 4.0x2.7,mi,4.0,2.7,0.1026,0.25,27.385
mi 4.0x2.7,mi,4.0,2.7,0.123,0.3,26.558
mi 4.0x2.7,mi,4.0,2.7,0.1421,0.35,25.216
mi 4.0x2.7,mi,4.0,2.7,0.1577,0.4,23.283
mi 4.0x2.7,mi,4.0,2.7,0.1707,0.45,21.25
mi 4.0x2.7,mi,4.0,2.7,0.18,0.5,19.28
mi 4.0x2.7,mi,4.0,2.7,0.1854,0.55,17.453
mi 4.0x2.7,mi,4.0,2.7,0.1866,0.6,15.785
mi 4.0x2.7,mi,4.0,2.7,0.1847,0.65,14.263
mi 4.0x2.7,mi,4.0,2.7,0.1803,0.7,12.752
mi 4.0x2.7,mi,4.0,2.7,0.1731,0.75,11.389
mi 4.0x2.7,mi,4.0,2.7,0.1612,0.8,10.113
mi 4.0x2.7,mi,4.0,2.7,0.1449,0.85,8.574
mi 4.0x2.7,mi,4.0,2.7,0.1226,0.9,7.181
mi 4.0x2.7,mi,4.0,2.7,0.0875,0.95,5.647
mi 4.0x2.7,mi,4.0,2.7,0.0179,1.0,1.684
mi 5.0x3.5,mi,5.0,3.5,0.0981,0.15,24.931
mi 5.0x3.5,mi,5.0,3.5,0.1186,0.2,26.23
mi 5.0x3.5,mi,5.0,3.5,0.1406,0.25,26.341
mi 5.0x3.5,mi,5.0,3.5,0.1606,0.3,25.321
mi 5.0x3.5,mi,5.0,3.5,0.1775,0.35,23.402
mi 5.0x3.5,mi,5.0,3.5,0.1905,0.4,21.266
mi 5.0x3.5,mi,5.0,3.5,0.1999,0.45,19.2
mi 5.0x3.5,mi,5.0,3.5,0.2059,0.5,17.3
mi 5.0x3.5,mi,5.0,3.5,0.2087,0.55,15.52
mi 5.0x3.5,mi,5.0,3.5,0.2084,0.6,13.975
mi 5.0x3.5,mi,5.0,3.5,0.2052,0.65,12.548
mi 5.0x3.5,mi,5.0,3.5,0.1987,0.7,11.082
mi 5.0x3.5,mi,5.0,3.5,0.189,0.75,9.642
mi 5.0x3.5,mi,5.0,3.5,0.1761,0.8,8.355
mi 5.0x3.5,mi,5.0,3.5,0.1593,0.85,7.198
mi 5.0x3.5,mi,5.0,3.5,0.137,0.9,6.098
mi 5.0x3.5,mi,5.0,3.5,0.1002,0.95,5.421
mi 5.0x3.5,mi,5.0,3.5,0.0088,1.0,0.0
pl 100.0x80.0,pl,3.937007874015748,3.1496062992125986,0.2059,0.15,55.845
pl 100.0x80.0,pl,3.937007874015748,3.1496062992125986,0.2468,0.2,49.318
pl 100.0x80.0,pl,3.937007874015748,3.1496062992125986,0.2763,0.25,43.241
pl 100.0x80.0,pl,3.937007874015748,3.1496062992125986,0.286,0.3,38.739
pl 100.0x80.0,pl,3.937007874015748,3.1496062992125986,0.2816,0.35,34.999
pl 100.0x80.0,pl,3.937007874015748,3.1496062992125986,0.2696,0.4,31.871
pl 100.0x80.0,pl,3.937007874015748,3.1496062992125986,0.255,0.45,29.189
pl 100.0x80.0,pl,3.937007874015748,3.1496062992125986,0.2398,0.5,26.937
pl 100.0x80.0,pl,3.937007874015748,3.1496062992125986,0.224,0.55,25.124
pl 100.0x80.0,pl,3.937007874015748,3.1496062992125986,0.2074,0.6,23.621
pl 100.0x80.0,pl,3.937007874015748,3.1496062992125986,0.19,0.65,22.246
pl 100.0x80.0,pl,3.937007874015748,3.1496062992125986,0.1731,0.7,21.018
pl 100.0x80.0,pl,3.937007874015748,3.1496062992125986,0.1558,0.75,20.108
pl 100.0x80.0,pl,3.937007874015748,3.1496062992125986,0.1385,0.8,19.244
pl 100.0x80.0,pl,3.937007874015748,3.1496062992125986,0.1187,0.85,18.511
pl 100.0x80.0,pl,3.937007874015748,3.1496062992125986,0.0953,0.9,17.697
pl 100.0x80.0,pl,3.937007874015748,3.1496062992125986,0.0666,0.95,17.026
pl 100.0x80.0,pl,3.937007874015748,3.1496062992125986,0.0057,1.0,16.816
pl 57.0x20.0,pl,2.2440944881889764,0.7874015748031497,0.2142,0.15,35.968
pl 57.0x20.0,pl,2.2440944881889764,0.7874015748031497,0.2378,0.2,32.013
pl 57.0x20.0,pl,2.2440944881889764,0.7874015748031497,0.2625,0.25,28.846
pl 57.0x20.0,pl,2.2440944881889764,0.7874015748031497,0.2872,0.3,26.167
pl 57.0x20.0,pl,2.2440944881889764,0.7874015748031497,0.312,0.35,24.024
pl 57.0x20.0,pl,2.2440944881889764,0.7874015748031497,0.3359,0.4,22.007
pl 57.0x20.0,pl,2.2440944881889764,0.7874015748031497,0.3599,0.45,20.101
pl 57.0x20.0,pl,2.2440944881889764,0.7874015748031497,0.3779,0.5,18.55
pl 57.0x20.0,pl,2.2440944881889764,0.7874015748031497,0.3783,0.55,17.536
pl 57.0x20.0,pl,2.2440944881889764,0.7874015748031497,0.3703,0.6,16.827
pl 57.0x20.0,pl,2.2440944881889764,0.7874015748031497,0.3617,0.65,16.072
pl 57.0x20.0,pl,2.2440944881889764,0.7874015748031497,0.3543,0.7,15.231
