BladeName,Family,D,P,c/R,r/R,beta
apc29ff 9.0x5.0,apc29ff,9.0,5.0,0.16,0.15,31.68
apc29ff 9.0x5.0,apc29ff,9.0,5.0,0.146,0.2,34.45
apc29ff 9.0x5.0,apc29ff,9.0,5.0,0.144,0.25,35.93
apc29ff 9.0x5.0,apc29ff,9.0,5.0,0.143,0.3,33.33
apc29ff 9.0x5.0,apc29ff,9.0,5.0,0.143,0.35,29.42
apc29ff 9.0x5.0,apc29ff,9.0,5.0,0.146,0.4,26.25
apc29ff 9.0x5.0,apc29ff,9.0,5.0,0.151,0.45,23.67
apc29ff 9.0x5.0,apc29ff,9.0,5.0,0.155,0.5,21.65
apc29ff 9.0x5.0,apc29ff,9.0,5.0,0.158,0.55,20.02
apc29ff 9.0x5.0,apc29ff,9.0,5.0,0.16,0.6,18.49
apc29ff 9.0x5.0,apc29ff,9.0,5.0,0.159,0.65,17.06
apc29ff 9.0x5.0,apc29ff,9.0,5.0,0.155,0.7,15.95
apc29ff 9.0x5.0,apc29ff,9.0,5.0,0.146,0.75,14.87
apc29ff 9.0x5.0,apc29ff,9.0,5.0,0.133,0.8,13.82
apc29ff 9.0x5.0,apc29ff,9.0,5.0,0.114,0.85,12.77
apc29ff 9.0x5.0,apc29ff,9.0,5.0,0.089,0.9,11.47
apc29ff 9.0x5.0,apc29ff,9.0,5.0,0.056,0.95,10.15
apc29ff 9.0x5.0,apc29ff,9.0,5.0,0.022,1.0,8.82
apce 10.0x5.0,apce,10.0,5.0,0.13,0.15,32.76
apce 10.0x5.0,apce,10.0,5.0,0.149,0.2,37.19
apce 10.0x5.0,apce,10.0,5.0,0.173,0.25,33.54
apce 10.0x5.0,apce,10.0,5.0,0.189,0.3,29.25
apce 10.0x5.0,apce,10.0,5.0,0.197,0.35,25.64
apce 10.0x5.0,apce,10.0,5.0,0.201,0.4,22.54
apce 10.0x5.0,apce,10.0,5.0,0.2,0.45,20.27
apce 10.0x5.0,apce,10.0,5.0,0.194,0.5,18.46
apce 10.0x5.0,apce,10.0,5.0,0.186,0.55,17.05
apce 10.0x5.0,apce,10.0,5.0,0.174,0.6,15.97
apce 10.0x5.0,apce,10.0,5.0,0.16,0.65,14.87
apce 10.0x5.0,apce,10.0,5.0,0.145,0.7,14.09
apce 10.0x5.0,apce,10.0,5.0,0.128,0.75,13.39
apce 10.0x5.0,apce,10.0,5.0,0.112,0.8,12.84
apce 10.0x5.0,apce,10.0,5.0,0.096,0.85,12.25
apce 10.0x5.0,apce,10.0,5.0,0.081,0.9,11.37
apce 10.0x5.0,apce,10.0,5.0,0.061,0.95,10.19
apce 10.0x5.0,apce,10.0,5.0,0.041,1.0,8.99
apce 10.0x7.0,apce,10.0,7.0,0.138,0.15,37.86
apce 10.0x7.0,apce,10.0,7.0,0.154,0.2,45.82
apce 10.0x7.0,apce,10.0,7.0,0.175,0.25,44.19
apce 10.0x7.0,apce,10.0,7.0,0.19,0.3,38.35
apce 10.0x7.0,apce,10.0,7.0,0.198,0.35,33.64
apce 10.0x7.0,apce,10.0,7.0,0.202,0.4,29.9
apce 10.0x7.0,apce,10.0,7.0,0.2,0.45,27.02
apce 10.0x7.0,apce,10.0,7.0,0.195,0.5,24.67
apce 10.0x7.0,apce,10.0,7.0,0.186,0.55,22.62
apce 10.0x7.0,apce,10.0,7.0,0.174,0.6,20.88
apce 10.0x7.0,apce,10.0,7.0,0.161,0.65,19.36
apce 10.0x7.0,apce,10.0,7.0,0.145,0.7,17.98
apce 10.0x7.0,apce,10.0,7.0,0.129,0.75,16.74
apce 10.0x7.0,apce,10.0,7.0,0.112,0.8,15.79
apce 10.0x7.0,apce,10.0,7.0,0.096,0.85,14.64
apce 10.0x7.0,apce,10.0,7.0,0.081,0.9,13.86
apce 10.0x7.0,apce,10.0,7.0,0.061,0.95,12.72
apce 10.0x7.0,apce,10.0,7.0,0.04,1.0,11.53
apce 11.0x10.0,apce,11.0,10.0,0.128,0.15,48.87
apce 11.0x10.0,apce,11.0,10.0,0.145,0.2,55.01
apce 11.0x10.0,apce,11.0,10.0,0.163,0.25,51.58
apce 11.0x10.0,apce,11.0,10.0,0.178,0.3,45.77
apce 11.0x10.0,apce,11.0,10.0,0.187,0.35,40.79
apce 11.0x10.0,apce,11.0,10.0,0.191,0.4,36.73
apce 11.0x10.0,apce,11.0,10.0,0.191,0.45,33.37
apce 11.0x10.0,apce,11.0,10.0,0.186,0.5,30.57
apce 11.0x10.0,apce,11.0,10.0,0.179,0.55,28.18
apce 11.0x10.0,apce,11.0,10.0,0.168,0.6,26.13
apce 11.0x10.0,apce,11.0,10.0,0.155,0.65,24.37
apce 11.0x10.0,apce,11.0,10.0,0.141,0.7,22.83
apce 11.0x10.0,apce,11.0,10.0,0.125,0.75,21.5
apce 11.0x10.0,apce,11.0,10.0,0.11,0.8,20.22
apce 11.0x10.0,apce,11.0,10.0,0.096,0.85,19.22
apce 11.0x10.0,apce,11.0,10.0,0.082,0.9,18.26
apce 11.0x10.0,apce,11.0,10.0,0.065,0.95,17.57
apce 11.0x10.0,apce,11.0,10.0,0.047,1.0,16.89
apce 11.0x5.5,apce,11.0,5.5,0.124,0.15,41.11
apce 11.0x5.5,apce,11.0,5.5,0.146,0.2,41.01
apce 11.0x5.5,apce,11.0,5.5,0.167,0.25,34.01
apce 11.0x5.5,apce,11.0,5.5,0.18,0.3,28.76
apce 11.0x5.5,apce,11.0,5.5,0.188,0.35,24.78
apce 11.0x5.5,apce,11.0,5.5,0.19,0.4,21.7
apce 11.0x5.5,apce,11.0,5.5,0.189,0.45,19.4
apce 11.0x5.5,apce,11.0,5.5,0.184,0.5,17.65
apce 11.0x5.5,apce,11.0,5.5,0.175,0.55,16.19
apce 11.0x5.5,apce,11.0,5.5,0.164,0.6,15.03
apce 11.0x5.5,apce,11.0,5.5,0.151,0.65,14.1
apce 11.0x5.5,apce,11.0,5.5,0.136,0.7,13.26
apce 11.0x5.5,apce,11.0,5.5,0.121,0.75,12.61
apce 11.0x5.5,apce,11.0,5.5,0.105,0.8,12.0
apce 11.0x5.5,apce,11.0,5.5,0.09,0.85,11.34
apce 11.0x5.5,apce,11.0,5.5,0.077,0.9,10.55
apce 11.0x5.5,apce,11.0,5.5,0.053,0.95,9.33
apce 11.0x5.5,apce,11.0,5.5,0.029,1.0,8.07
apce 11.0x7.0,apce,11.0,7.0,0.131,0.15,41.81
apce 11.0x7.0,apce,11.0,7.0,0.145,0.2,45.76
apce 11.0x7.0,apce,11.0,7.0,0.161,0.25,41.73
apce 11.0x7.0,apce,11.0,7.0,0.176,0.3,36.13
apce 11.0x7.0,apce,11.0,7.0,0.185,0.35,31.59
apce 11.0x7.0,apce,11.0,7.0,0.189,0.4,28.07
apce 11.0x7.0,apce,11.0,7.0,0.189,0.45,25.32
apce 11.0x7.0,apce,11.0,7.0,0.185,0.5,23.02
apce 11.0x7.0,apce,11.0,7.0,0.177,0.55,21.04
apce 11.0x7.0,apce,11.0,7.0,0.167,0.6,19.62
apce 11.0x7.0,apce,11.0,7.0,0.154,0.65,18.47
apce 11.0x7.0,apce,11.0,7.0,0.14,0.7,17.38
apce 11.0x7.0,apce,11.0,7.0,0.125,0.75,16.28
apce 11.0x7.0,apce,11.0,7.0,0.11,0.8,15.33
apce 11.0x7.0,apce,11.0,7.0,0.095,0.85,14.58
apce 11.0x7.0,apce,11.0,7.0,0.081,0.9,13.77
apce 11.0x7.0,apce,11.0,7.0,0.062,0.95,13.05
apce 11.0x7.0,apce,11.0,7.0,0.043,1.0,12.34
apce 11.0x8.5,apce,11.0,8.5,0.127,0.15,46.08
apce 11.0x8.5,apce,11.0,8.5,0.147,0.2,51.71
apce 11.0x8.5,apce,11.0,8.5,0.164,0.25,46.18
apce 11.0x8.5,apce,11.0,8.5,0.179,0.3,40.31
apce 11.0x8.5,apce,11.0,8.5,0.188,0.35,35.62
apce 11.0x8.5,apce,11.0,8.5,0.191,0.4,31.77
apce 11.0x8.5,apce,11.0,8.5,0.19,0.45,28.7
apce 11.0x8.5,apce,11.0,8.5,0.186,0.5,26.19
apce 11.0x8.5,apce,11.0,8.5,0.177,0.55,24.1
apce 11.0x8.5,apce,11.0,8.5,0.166,0.6,22.37
apce 11.0x8.5,apce,11.0,8.5,0.153,0.65,20.85
apce 11.0x8.5,apce,11.0,8.5,0.138,0.7,19.52
apce 11.0x8.5,apce,11.0,8.5,0.123,0.75,18.35
apce 11.0x8.5,apce,11.0,8.5,0.108,0.8,17.33
apce 11.0x8.5,apce,11.0,8.5,0.093,0.85,16.38
apce 11.0x8.5,apce,11.0,8.5,0.079,0.9,15.32
apce 11.0x8.5,apce,11.0,8.5,0.06,0.95,14.19
